Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Aegyptischer_Panda,4, 1,"1"
2, GawrilaGhul,3, 1,"1"
3, DontCallMeChicken,2, 1,"1"
4, Peter_Hahn,1, 1,"1"
Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Aegyptischer_Panda,7, 2,"1, 1"
2, GawrilaGhul,7, 2,"1, 1"
3, DontCallMeChicken,3, 2,"1, 1"
4, Peter_Hahn,3, 2,"1, 1"
Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Aegyptischer_Panda,4, 1,"1"
2, GawrilaGhul,3, 1,"1"
3, DontCallMeChicken,2, 1,"1"
4, Peter_Hahn,1, 1,"1"
Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Aegyptischer_Panda,7, 2,"1, 2"
2, GawrilaGhul,7, 2,"1, 2"
3, DontCallMeChicken,3, 2,"1, 2"
4, Peter_Hahn,3, 2,"1, 2"
Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Aegyptischer_Panda,4, 1,"1"
2, GawrilaGhul,3, 1,"1"
3, DontCallMeChicken,2, 1,"1"
4, Peter_Hahn,1, 1,"1"
