Rang, Spieler, Punkte, Rundenanzahl, Runden, "Rang Runden"
1, echteFrau, 40, 9, "1,3,4,5,6,7,8,9,10", 1
4, DontCallMeChicken, 39, 7, "1,3,4,5,6,8,10", 6
2, MayaManuka, 39, 8, "2,3,5,6,7,8,9,10", 8
3, GawrilaGhul, 35, 10, "1,2,3,4,5,6,7,8,9,10", 2
5, mariia_cel, 32, 5, "1,2,5,6,7", 3
6, Coolmaster185, 25, 5, "5,6,7,8,9", 10
7, Fuechsle__, 25, 6, "5,6,7,8,9,10", 10
8, geckoofcolor, 15, 4, "1,2,5,6", 7
9, krischa88xx, 13, 6, "1,2,3,7,8,9", 6
10, D3lTa_Music, 10, 2, "1,2", 5
10, FetterBurger, 10, 2, "7,8", 12
11, NutBrainsTV, 7, 1, "9", 13
12, Publikum, 5, 1, "1", 4
12, xsnowflake1x, 5, 2, "2,3", 9
14, Keks_Mafiaa, 5, 2, "9,10", 13
13, Aegyptischer_Panda, 2, 1, "5", 11
