Rang, Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, echteFrau, 6, "1,3,4,5,6,7", 29, 1
2, GawrilaGhul, 7, "1,2,3,4,5,6,7", 22, 2
3, mariia_cel, 5, "1,2,5,6,7", 32, 1
4, Publikum, 1, "1", 5, 9
5, D3lTa_Music, 2, "1,2", 10, 6
6, DontCallMeChicken, 5, "1,3,4,5,6", 25, 1
7, krischa88xx, 4, "1,2,3,7", 8, 8
8, geckoofcolor, 4, "1,2,5,6", 15, 4
8, MayaManuka, 5, "2,3,5,6,7", 23, 3
9, xsnowflake1x, 2, "2,3", 5, 9
9, Coolmaster185, 3, "5,6,7", 18, 5
9, Fuechsle__, 3, "5,6,7", 12, 7
10, Aegyptischer_Panda, 1, "5", 2, 10
0, FetterBurger, 1, "7", 8, 0
