Rang, Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, echteFrau, 10, "1,3,4,5,6,7,8,9,10,11", 45, 1
2, GawrilaGhul, 11, "1,2,3,4,5,6,7,8,9,10,11", 38, 3
3, mariia_cel, 5, "1,2,5,6,7", 32, 4
4, Publikum, 1, "1", 5, 10
5, D3lTa_Music, 2, "1,2", 10, 8
6, DontCallMeChicken, 8, "1,3,4,5,6,8,10,11", 41, 2
7, krischa88xx, 6, "1,2,3,7,8,9", 13, 7
8, geckoofcolor, 4, "1,2,5,6", 15, 6
9, MayaManuka, 9, "2,3,5,6,7,8,9,10,11", 45, 2
10, xsnowflake1x, 2, "2,3", 5, 10
11, Coolmaster185, 5, "5,6,7,8,9", 25, 5
12, Fuechsle__, 7, "5,6,7,8,9,10,11", 29, 5
13, Aegyptischer_Panda, 1, "5", 2, 11
14, FetterBurger, 2, "7,8", 10, 8
15, NutBrainsTV, 1, "9", 7, 9
16, Keks_Mafiaa, 3, "9,10,11", 6, 10
